system:index,akurasi,generatif,iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,.geo
555,0.988,7.548080531700002,5105030007,30.183680545115685,9.007987650780796,13.991236573079386,12.113706615397152,"{""type"":""MultiPoint"",""coordinates"":[]}"
556,0.988,1.7780142717668117,5105030008,19.731593713702008,6.699623843455589,5.2987472779756475,4.585591039392806,"{""type"":""MultiPoint"",""coordinates"":[]}"
557,0.988,23.913071739645588,5105030005,32.48257857115503,10.684294463369312,17.45748912608429,33.42245252369603,"{""type"":""MultiPoint"",""coordinates"":[]}"
558,0.988,22.84531172168211,5105030006,53.53722408237838,27.651954480243763,52.00075121267289,28.27340284135411,"{""type"":""MultiPoint"",""coordinates"":[]}"
559,0.988,34.014126981261,5105030003,103.61028185732339,38.78587360783602,71.59222185087322,80.15901450518417,"{""type"":""MultiPoint"",""coordinates"":[]}"
560,0.988,0.21716004425647212,5105030004,1.4213283425364773,0.7595217972819011,0.5189337010761337,0.9563357012700099,"{""type"":""MultiPoint"",""coordinates"":[]}"
561,0.988,2.131374353960823,5105030012,43.2080552097574,9.326500959436737,13.966405674211098,28.02200636068896,"{""type"":""MultiPoint"",""coordinates"":[]}"
562,0.988,1.6810154387470329,5105030013,10.982400866950515,1.1236589811437272,4.944864445501591,17.602857932607606,"{""type"":""MultiPoint"",""coordinates"":[]}"
563,0.988,0.4039864413511987,5105030010,13.014629942267938,2.108246265593884,3.6929172153487855,9.953550165572812,"{""type"":""MultiPoint"",""coordinates"":[]}"
564,0.988,1.2252172859820203,5105030011,8.72572859628715,1.1302731581384995,1.276389338175456,5.969632911376947,"{""type"":""MultiPoint"",""coordinates"":[]}"
565,0.988,5.85198698735255,5105030001,29.892905217488593,16.162407636156242,21.081522111110313,25.262678148923403,"{""type"":""MultiPoint"",""coordinates"":[]}"
566,0.988,7.512760684958067,5105030002,28.61246037790342,21.81961786057418,36.80202482012579,18.976538693476645,"{""type"":""MultiPoint"",""coordinates"":[]}"
567,0.988,7.181872984918339,5105030018,13.455007558510003,4.667872288590974,21.91160661120848,40.394566819888816,"{""type"":""MultiPoint"",""coordinates"":[]}"
568,0.988,25.688052169763935,5105030016,58.926350620870984,19.62302900780772,87.92840487448285,109.32857312313305,"{""type"":""MultiPoint"",""coordinates"":[]}"
569,0.988,5.39643004921109,5105030017,20.345515569781156,7.15249326046215,10.014880370926216,23.336694723031993,"{""type"":""MultiPoint"",""coordinates"":[]}"
570,0.988,8.228200263073495,5105030014,48.11501359512637,14.210140657839325,42.18368660011432,49.59796776807606,"{""type"":""MultiPoint"",""coordinates"":[]}"
571,0.988,11.999600310740778,5105030015,36.15104722570079,15.129535613546947,37.661256192064506,38.34986098741718,"{""type"":""MultiPoint"",""coordinates"":[]}"
572,0.988,0.46779223444919954,5105040008,7.008531227979472,2.755573326463887,3.2424857240564706,6.646977988496661,"{""type"":""MultiPoint"",""coordinates"":[]}"
573,0.988,1.6603469471531282,5105040009,23.01725813277894,5.035695195874983,14.083580953584569,24.052131308509956,"{""type"":""MultiPoint"",""coordinates"":[]}"
574,0.988,0.8290596048751532,5105040006,4.7326807425944075,1.7378003245993223,4.559722655651617,8.625947249971281,"{""type"":""MultiPoint"",""coordinates"":[]}"
575,0.988,0.1172939208505668,5105040007,2.7139463021790764,0.543774688648897,0.19405213030646828,1.452994832129385,"{""type"":""MultiPoint"",""coordinates"":[]}"
576,0.988,19.526212571997533,5105040004,13.596659004145568,60.12564554683915,54.396200676150045,14.249498592780592,"{""type"":""MultiPoint"",""coordinates"":[]}"
577,0.988,35.56341915558456,5105040005,123.65792427252059,157.07059476230916,65.81071549744851,30.950909632975314,"{""type"":""MultiPoint"",""coordinates"":[]}"
578,0.988,0.1570488365023744,5105040002,1.2483773037779566,0.3446136432243795,0.26601216129078586,0.7659803304993873,"{""type"":""MultiPoint"",""coordinates"":[]}"
579,0.988,7.025989037511491,5105040003,20.927244377728613,24.8870220180257,42.46417529600862,39.34462074406666,"{""type"":""MultiPoint"",""coordinates"":[]}"
580,0.988,6.421005554330873,5105040011,7.766884707282575,20.725941379562016,28.454687628592694,6.591036679160913,"{""type"":""MultiPoint"",""coordinates"":[]}"
581,0.988,0.03529801949295343,5105040012,0.0,0.0,0.23506941172880289,0.21672445866603476,"{""type"":""MultiPoint"",""coordinates"":[]}"
582,0.988,0.007706990559895833,5105040010,0.0,0.01957511006673177,0.019729249459060967,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
583,0.988,26.985201095844364,5105040001,25.501590083462588,61.66983595272281,16.96588933859431,19.455132704802867,"{""type"":""MultiPoint"",""coordinates"":[]}"
584,0.988,6.501407339465576,5102010018,36.539970013703034,34.29063631327318,43.60003557850559,25.23261374186201,"{""type"":""MultiPoint"",""coordinates"":[]}"
585,0.988,3.3836604603486897,5102010015,10.598294504921105,12.403939870150694,15.262305183644017,9.84750329474954,"{""type"":""MultiPoint"",""coordinates"":[]}"
586,0.988,8.66012933172487,5102010014,32.97230703693461,31.507385839532628,73.52073328142926,50.058739719537414,"{""type"":""MultiPoint"",""coordinates"":[]}"
587,0.988,5.810379424067479,5102010006,65.13424175196043,15.788842786302713,40.608887568371365,29.36652328896915,"{""type"":""MultiPoint"",""coordinates"":[]}"
588,0.988,1.8713497936054297,5102010004,32.87777342669319,4.029048188787724,18.576384331090594,2.8370517631979557,"{""type"":""MultiPoint"",""coordinates"":[]}"
589,0.988,5.627127049883681,5102010005,192.94426126861,25.217473059213706,123.60316386030566,16.03711378557987,"{""type"":""MultiPoint"",""coordinates"":[]}"
590,0.988,10.001365826404054,5102010002,251.27645061518697,38.96109003146299,236.19543492249855,28.758807681382155,"{""type"":""MultiPoint"",""coordinates"":[]}"
591,0.988,11.72021346861597,5102010026,10.914280202708532,15.188991101421287,42.47488722397762,44.539737149359006,"{""type"":""MultiPoint"",""coordinates"":[]}"
592,0.988,11.086479037140505,5102010024,35.87270446880263,46.21831582592536,74.4010313194125,48.97874230863679,"{""type"":""MultiPoint"",""coordinates"":[]}"
593,0.988,3.0438238543701184,5102010025,19.250436879104914,6.8360966400744845,13.18928010744581,17.654142507862776,"{""type"":""MultiPoint"",""coordinates"":[]}"
594,0.988,6.535076923002357,5102011007,28.134316735373027,27.0325702834904,101.25525625034706,102.91666700420309,"{""type"":""MultiPoint"",""coordinates"":[]}"
595,0.988,8.838187957284964,5102011008,32.812725758403744,22.255881360377913,33.00624391425647,68.2774722102981,"{""type"":""MultiPoint"",""coordinates"":[]}"
596,0.988,4.649727976265703,5102011005,25.63682781593473,9.243570029165229,35.50345106359141,53.01799146789544,"{""type"":""MultiPoint"",""coordinates"":[]}"
597,0.988,34.14710105820592,5102011006,56.707307923512,38.93768316226727,87.46399342966151,153.00510665592043,"{""type"":""MultiPoint"",""coordinates"":[]}"
