iddesa,nonsawah,persiapan,vegetatif1,vegetatif2,generatif,real_nonsawah,real_persiapan,real_vegetatif1,real_vegetatif2,real_generatif
5107020004,0.346531207,0.122832959,0.288145565,0.097040743,0.145449527,61.86039892,21.9273061,51.43779043,17.32305472,25.96466222
5107020005,0.345056898,0.443679258,0.065870199,0.038120198,0.107273447,44.69185103,57.46544239,8.531523763,4.937337039,13.89408229
5107020002,0.182593584,0.111271298,0.216937095,0.191616764,0.297581258,31.5119985,19.20319927,37.43900119,33.06921874,51.3565697
5107020003,0.338674295,0.210572449,0.15702469,0.113194465,0.180534101,40.92991111,25.44837834,18.97695425,13.67992627,21.81814446
5107020010,0.137174374,0.214402125,0.305828076,0.211923713,0.130671711,25.59159116,39.99939176,57.05604386,39.53701321,24.37843834
5107020001,0.105046746,0.059270026,0.661724536,0.150495755,0.023462937,15.47923648,8.733776007,97.50888019,22.17640691,3.457397371
5107030007,0.009821305,0.147242401,0.397127029,0.396741333,0.049067932,0.039308701,0.589321659,1.589457638,1.587913931,0.196389049
5107030008,0.04767974,0.182559688,0.395313451,0.285981408,0.088465713,0.598078249,2.28996589,4.958675871,3.587252359,1.109683453
5107030005,0.055190812,0.104825408,0.217303979,0.311521088,0.311158713,8.305095015,15.7740923,32.69983013,46.87758913,46.82305914
5107030006,0.060689223,0.115257411,0.29640654,0.342892644,0.184754182,1.302288958,2.473230767,6.360387322,7.357901179,3.964514954
5107030003,0,0,0,0,0,0,0,0,0,0
5107030004,0.139551085,0.163184773,0.180207907,0.135472538,0.381583697,7.638311328,8.931898298,9.863657406,7.415072534,20.88593626
5107030001,0.117819399,0.087351407,0.394569788,0.184907797,0.21535161,1.672189781,1.239762989,5.600058865,2.624363497,3.05644712
5107030002,0.410243801,0.10402642,0.264556139,0.08926861,0.131905032,50.38763018,12.77690184,32.4937436,10.96429411,16.20105396
5107030009,0.050488122,0.131900285,0.576403105,0.175722432,0.065486057,11.44582968,29.90224521,130.6725534,39.83687563,14.8459129
5107030010,0.209797928,0.382399525,0,0.364028407,0.04377414,0.142567003,0.259857447,0,0.247373457,0.029746471
5107030011,0,0,0,0,0,0,0,0,0,0
5107030012,0,0,0,0,0,0,0,0,0,0
5107040006,0.121736674,0.133732277,0.214448183,0.292415322,0.237667544,13.56962529,14.90673958,23.90390176,32.59466701,26.49209493
5107040007,0.090727237,0.137913026,0.363304334,0.213717927,0.194337475,11.48379846,17.45633886,45.98523968,27.05134281,24.59826247
5107040004,0.182027803,0.163502194,0.366756562,0.16777082,0.119942622,78.70642687,70.69619745,158.5807116,72.5418949,51.86161156
5107040005,0.198826477,0.194289513,0.223537093,0.196277909,0.187069008,77.20396806,75.44227318,86.79905647,76.21436348,72.63856362
5107040002,0.107109611,0.214371999,0.253706665,0.238918364,0.18589336,31.80895061,63.66327215,75.34471178,70.95294597,55.20580885
5107040003,0.152887226,0.185658609,0.247890475,0.190675715,0.222887976,59.28366877,71.99112588,96.12220218,73.93656254,86.42721375
5107040001,0.140265023,0.229164767,0.263595324,0.193838989,0.173135897,22.71927927,37.11872145,42.69557467,31.39686584,28.04350445
5107040008,0.194809947,0.17367578,0.302217094,0.201761495,0.127535685,5.055269248,4.506842919,7.842457762,5.235660177,3.309519032
5107040009,0.041305778,0.102822241,0.166955078,0.495383154,0.193533748,1.10846723,2.759301285,4.480347407,13.29392703,5.193603189
5107040010,0.048662621,0.154700135,0.392602749,0.346213746,0.05782075,0.52187489,1.659058117,4.210408595,3.712916767,0.620089855
5107040011,0,0,1,0,0,0,0,0.019426546,0,0
5107050005,0,0,0,1,0,0,0,0,0.156661839,0
5107050006,0,0,0,0,0,0,0,0,0,0
5107050003,0.031450844,0.051596705,0.387691788,0.435626084,0.093634579,1.011458383,1.659348792,12.46815855,14.00972434,3.011285804
5107050004,0,0,0.728571347,0.271428653,0,0,0,0.157273348,0.058592056,0
5107050001,0.189089791,0.100828368,0.274521537,0.292482904,0.1430774,46.5352324,24.81398658,67.56009133,71.98040611,35.211526
5107050002,0.099648945,0.052826168,0.423224467,0.265867073,0.158433347,10.35907756,5.491582188,43.99660316,27.63840241,16.47005232
5107050009,0.064206581,0.41753927,0.056633976,0.294528745,0.167091429,0.679893693,4.421389708,0.599706177,3.118811701,1.769357702
5107050007,0.064150409,0.094828677,0.36848809,0.395149766,0.077383058,3.551717167,5.250233746,20.40151418,21.87765026,4.284348921
5107050008,0.144589707,0.141092861,0.098619865,0.430664575,0.185032993,12.96452868,12.65098664,8.842676976,38.61521934,16.59084591
5107050014,0.101841562,0.2534924,0.26599491,0.240512973,0.138158155,4.270137171,10.62873841,11.15295888,10.08452118,5.792863547
5107050012,0.055234356,0.091937443,0.030841009,0.575337926,0.246649267,7.747691706,12.89601295,4.326050768,80.7023242,34.59735258
5107050013,0.089359195,0.310867831,0.058460396,0.283491277,0.257821302,9.871432732,34.34129948,6.458069152,31.31703529,28.48129542
5107050010,0,0,0.085644399,0.733623657,0.180731944,0,0,0.199999927,1.713184744,0.422051834
5107050011,0.05194788,0.199043181,0.025442948,0.268740879,0.454825111,1.222599822,4.684506056,0.598802945,6.324850058,10.70436562
5107060004,0.170162177,0.160835699,0.308756951,0.232238156,0.128007018,30.96002961,29.26313057,56.1765518,42.25439717,23.29014086
5107060005,0.158517974,0.147611943,0.333663152,0.259259912,0.100947019,30.49987371,28.40148348,64.19892797,49.88326801,19.42285312
5107060002,0.141913278,0.154085502,0.335652639,0.222129599,0.146218982,50.76370158,55.1178195,120.0660756,79.45782674,52.30389195
5107060003,0.118450772,0.190917623,0.295729619,0.268619363,0.126282622,18.23116764,29.384791,45.51676741,41.34413423,19.4365947
5107060001,0.084571318,0.142781192,0.518749529,0.202326704,0.051571258,6.730858211,11.36366294,41.28621368,16.1027684,4.104450894
5107060008,0.223014147,0.302958276,0.369556375,0.084641574,0.019829627,4.889465157,6.642197165,8.102324644,1.855720963,0.434753909
5107060006,0.096984014,0.082995913,0.302594711,0.316405377,0.201019985,8.283178273,7.088487262,25.84390799,27.0234448,17.16864773
5107060007,0.15648921,0.038893691,0.683453595,0.107425769,0.013737735,14.33411506,3.5625884,62.60305396,9.839996859,1.2583505
5107070003,0.290985443,0.201178434,0.242721703,0.178865131,0.08624929,38.20973284,26.41704038,31.87214906,23.48704727,11.32552298
5107070004,0.318292785,0.188564259,0.271852576,0.128608305,0.092682076,75.26941992,44.59140464,64.28730613,30.41310702,21.91732397
5107070001,0.152912448,0.12743578,0.189064196,0.32650155,0.204086026,47.59892921,39.66849494,58.8523264,101.6341338,63.52835523
5107070002,0.169339749,0.109196561,0.312309544,0.236961152,0.172192995,45.546677,29.3701894,84.00072663,63.73455227,46.31410386
5107070007,0.488705942,0.142462792,0.115790027,0.115321832,0.137719407,31.57483291,9.204387503,7.481085125,7.450835483,8.897921855
5107070008,0.336700511,0.16911105,0.265313806,0.164797961,0.064076673,12.63878287,6.34794951,9.959128312,6.186048367,2.405256683
5107070005,0.363187749,0.436489402,0.123236013,0.051996414,0.025090421,11.44353749,13.75316995,3.882994239,1.638334223,0.790564046
5107070006,0.156897014,0.082581493,0.191815512,0.442919991,0.12578599,8.316905616,4.377537017,10.16788955,23.47860975,6.667750895
5107080002,0.050999621,0.549420852,0.033122959,0.20031529,0.166141278,0.029919461,0.322323489,0.01943193,0.11751706,0.097468518
5107080003,0.274812387,0.254350287,0.007083187,0.088459886,0.375294253,9.525751084,8.81647857,0.245522698,3.066262277,13.00872817
5107080001,0.060978665,0.251705567,0.140838797,0.288935789,0.257541181,8.083129806,33.36525582,18.66912424,38.30037072,34.13880553
5107080008,0,0,0,0,0,0,0,0,0,0
5107080009,0,0,0,0,0,0,0,0,0,0
5107080006,0,0,0,0,0,0,0,0,0,0
5107080007,0,0,0,0,0,0,0,0,0,0
5107080004,0,0,0,0,0,0,0,0,0,0
5107080005,0,0,0,0,0,0,0,0,0,0
5105010009,0,0,0,0,0,0,0,0,0,0
5105010007,0,0,0,0,0,0,0,0,0,0
5105010008,0,0,0,0,0,0,0,0,0,0
5105010005,0,0,0,0,0,0,0,0,0,0
5105010006,0,0,0,0,0,0,0,0,0,0
5105010014,0,0,0,0,0,0,0,0,0,0
5105010015,1,0,0,0,0,0.002465081,0,0,0,0
5105010012,0,0,0,0,0,0,0,0,0,0
